file,lines,characters,keywords_found,preview,topic
Seerah of Prophet Muhammed 12 - Declaration of Prophethood - Yasir Qadhi ｜ October 2011.txt,1605,93569,"battle, bukhari, hadith, khilafah, muslim, prophet, surah, tafsir","[00:00:00] Last week we had discussed the beginnings of the prophetic da'wah and some of the early
 [00:00:23] converts who went into a long detailed tangent of nabi and rasul which insha'Allah was beneficial
 [00:00:28] and useful and we decided and we clarified the meaning of nabi and rasul and we said
 [00:00:33] that our Prophet ﷺ was both a nabi and a rasul.
 [00:00:37] Now one point that we mentioned in passing last week and now we're going to continue
 [00:00:40] insha'Allah with this week is that this da'wah was a, a lot of people call it a secret da'wah
 [00:00:47] but this is not a good word to use.
 [00:00:49] The better word to use it was a private da'wah.
 [00:00:52] What is the difference between secret and private?
 [00:00:54] Secret means nobody knew about it.",Tafsir / Quran
Seerah of Prophet Muhammed 14 - Torture and persecution of the weak - Yasir Qadhi ｜ November 2011.txt,1644,86571,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] This is not an Arab phenomenon, it is a Jewish phenomenon.
 [00:00:11] The Jews understood who is a prophet, the Arabs did not know who is a or what is a prophet.
 [00:00:17] And that is why Allah says,
 [00:00:19] لتنذر قوما ما أتاه من نذير من قبلك
 [00:00:22] that you can warn a nation who didn't have a prophet before them that they knew.
 [00:00:26] Of course the Prophet Abraham was there but his legacy was almost forgotten.
 [00:00:30] They didn't really know what is a prophet.
 [00:00:33] And so Allah says he had not sent a prophet before to the Arab nation.
 [00:00:38] And therefore when the Arabs heard of this that you are a prophet of God,
 [00:00:41] the only other nation that they knew who believed in prophets were the Jews and Christians.",Tafsir / Quran
Seerah of Prophet Muhammed 23 - Night Journey & Ascension to Heavens 3 - Yasir Qadhi ｜ February 2012.txt,1258,83361,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] We have some audio problems.
 [00:00:25] So InshaAllah last Wednesday we had discussed the journey of Al-Isra wal-Mu'iraj and we had reached the place where the Prophet ﷺ had been assigned the 50 Salawat and then if you like the descent began.
 [00:00:52] And the problem with as we said the descent or the problem with even most of the narration of Al-Isra wal-Mu'iraj it is almost impossible to piece together the exact order of events.
 [00:01:03] We simply have a hadith and therefore from this point onwards what we have is just a collection of incidents we don't know the exact order they occurred in.
 [00:01:13] And of the first incidents that I will mention we don't know chronologically which one came first.
 [00:01:19] There is a very long hadith in Muslim Imam Ahmad where the Prophet ﷺ mentions one incident that he came across and then there are other hadith in Bukhari Muslim about other incidents.
 [00:01:30] Of this hadith in Muslim Imam Ahmad the Prophet ﷺ said on the night that I went on Al-Isra wal-Mu'iraj I smelt a fragrance that was very sweet.
 [00:01:42] And so I asked Jibril what is this beautiful fragrance.
 [00:01:46] So Jibril said this is the fragrance of the one who used to comb the hair of the daughter of Fir'awn.
 [00:01:55] The one who used to comb the hair of the daughter of Fir'awn and her children.",Tafsir / Quran
Seerah of Prophet Muhammad 93 - Tafsir of Surat At-Tawbah & Tabuk ~ Dr. Yasir Qadhi ｜ 22nd Oct 2014.txt,1449,85064,"ayah, battle, hadith, muslim, prophet, surah, tafsir, translation","[00:00:00] So today, inshallah, we will finish our talk.
 [00:00:30] So today, we will finish our talk.
 [00:01:00] He was going to be the king, not the king.
 [00:01:22] They didn't have a king.
 [00:01:23] He was going to be one of the main leaders of Madinah, of Yathrib, pre-Islam.
 [00:01:29] And he was the senior most politician who was alive when the Prophet Muhammad emigrated to Yathrib, to Madinah.
 [00:01:38] And the other politicians, the other elders had either been killed in the Buath wars or after the coming of the Prophet Muhammad, within a year or two, they fled.
 [00:01:49] And so eventually, the only senior leader, and he would have been in his 70s, he would have been an elderly person, the only senior leader left is Abdullah ibn Ubayy ibn Salul.
 [00:02:01] And when did he embrace Islam? Remind me.
 [00:02:04] When did he embrace Islam? Al-Aqaba?",Tafsir / Quran
Seerah of Prophet Muhammad 96 - The Year of Delegations - Part 3 ~ Dr. Yasir Qadhi ｜ 12th Nov 2014.txt,770,81131,"ayah, bukhari, hadith, muslim, prophet, surah","[00:00:00] Today
 [00:00:29] is the third and final installment of the section about the delegations of the Prophet
 [00:00:34] sallallahu alayhi wa sallam and to be honest I could have done one more section but the
 [00:00:41] fact of the matter is that as you can see these are all small stories put together and
 [00:00:47] each one might have one or two benefits and then if I were to do another one it would
 [00:00:51] really just be a list of tribal names and it's I realize that perhaps it's better that
 [00:00:57] mentioned the most important that's what I've done the last two and today as well inshallah
 [00:01:01] will mention the more important delegations but please be aware that the books of Syria
 [00:01:06] have listed collectively over a hundred and ten delegations by name the bulk of them we
 [00:01:12] don't know anything other than this delegation came that's it and then the ones that are",Tafsir / Quran
Seerah of Prophet Muhammed 13 - Opposition from the Quraysh - Yasir Qadhi ｜ October 2011.txt,1845,95449,"battle, bukhari, muslim, prophet, surah, translation","[00:00:00] And number two is, wa anzir ashiratakal akhrabin.
 [00:00:14] These two verses came down, and when these two verses came down, that was when the Prophet
 [00:00:18] said he was commanded to go public.
 [00:00:21] That was when he had to go public.
 [00:00:23] And we said a number of things began immediately.
 [00:00:26] One of them is they tried to convince Abu Talib, and then they tried to block the da'wah
 [00:00:31] indirectly, and then they had a showdown with Abu Talib.
 [00:00:34] We all mentioned this last week.
 [00:00:36] Now we're continuing.
 [00:00:37] What else did they do in order to prevent the prophetic message from being taught to",Tafsir / Quran
Seerah of Prophet Muhammed 1 - Specialities of Prophet Muhammed - Yasir Qadhi ｜ April 2011.txt,1043,54710,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] Inna alhamdulillahi nahnmaduhu wa nastainuhu wa nastaghfiruhu wa naa'uthu billahi min shuruur
 [00:00:16] anfusina wa min sayyaiti a'malina.
 [00:00:19] May yahdihi Allaho fala mudilla laho wa may yudlinhu fala hadiyalaho.
 [00:00:24] Wa ashadu an la ilaha illa Allah wahdahu la sharika laho.
 [00:00:28] Wa ashadu anna Muhammadan abduhu wa rasuluhu.
 [00:00:32] Ya ayyuhal latheena amanu, attaqullaha haqqatu qatihi wa la tamutunna illa wa antun muslimoon.
 [00:00:39] Ya ayyuhal naasu, attaqu rabbakumu allathee khalaqakum min nafs wa wahida.
 [00:00:44] Wa khalaqa minha zawjaha wa batha minhuma rijala kathiran wa nisaaa.
 [00:00:49] Wa attaqullaha allathee tasaaloon bihi wal arham.
 [00:00:53] Inna allaha kaana alaikum raqeeba.",Tafsir / Quran
Seerah of Prophet Muhammad 90 - Battle of Tabuk 3 ~ Dr. Yasir Qadhi ｜ 10th September 2014.txt,1577,93286,"ayah, battle, bukhari, hadith, khilafah, muslim, prophet, surah, tafsir","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:07] Praise be to Allah, the Lord of the worlds.
 [00:00:12] And peace and blessings be upon our Master Muhammad and upon his family and companions.
 [00:00:20] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:21] Praise be to Allah, the Lord of the worlds.
 [00:00:22] And peace and blessings be upon our Master Muhammad and upon his family and companions.
 [00:00:26] What's next?
 [00:00:28] So we were talking about the fiqh benefits of the story of Ka'ab ibn Malik.
 [00:00:38] Okay, so let us now, we finished the story of Ka'ab ibn Malik.
 [00:00:41] We now move on to other incidents.",Tafsir / Quran
Seerah of Prophet Muhammed 11 - The Second Revelation - Yasir Qadhi ｜ October 2011.txt,1919,91647,"ayah, bukhari, hadith, muslim, prophet, surah, translation","[00:00:00] So in our last halaqah we had talked about the beginning of the revelation, we had talked
 [00:00:21] about Jibril coming down and squeezing the Prophet ﷺ and reciting to him, iqra bismi
 [00:00:27] rabbi kal-ladi khalaq and the fact that when the Prophet ﷺ came back to his wife Khadija,
 [00:00:33] Khadija took him to Waraka ibn Nawfal and we were still talking a little bit about Waraka
 [00:00:37] and what happened after that.
 [00:00:42] In this narration the question arises how could the Prophet ﷺ as a Prophet go to
 [00:00:47] somebody who is not a Prophet, for example Waraka, and get knowledge from him.
 [00:00:53] This doesn't initially make sense.
 [00:00:55] How could a Prophet go to a non-Prophet and ask this non-Prophet what's happening to
 [00:01:00] me?",Tafsir / Quran
Seerah of Prophet Muhammad 99 - Verse of Sword & Hajj of Abu Bakr ~ Dr. Yasir Qadhi ｜ 10th Dec 2014.txt,1074,77687,"battle, hadith, khilafah, muslim, prophet, surah, tafsir","[00:00:30] will actually be the final lesson for our calendar year and inshallah we will resume
 [00:00:35] from 2015 inshallah January and we will resume with the end.
 [00:00:41] So we're basically winding up inshallah maybe even two or three more lessons after this
 [00:00:46] one and then we have to decide what to do next after that subhanallah.
 [00:00:51] But today we will do the very final incidents in the ninth and tenth years that we haven't
 [00:00:58] discussed.
 [00:00:59] We discussed that what we have discussed for the last few weeks is primarily delegations
 [00:01:04] and family incidents and we kind of had to break our chronology and you understood why.
 [00:01:10] So the delegations as we said occurred from the seventh year all the way to the tenth
 [00:01:14] year and it would really just it's better just to mix them all together and of course",Tafsir / Quran
Seerah of Prophet Muhammad 91 - Battle of Tabuk 4 ~ Dr. Yasir Qadhi ｜ 17th September 2014.txt,1040,68478,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] My voice is still not fully recovered, so I apologize.
 [00:00:29] My voice might be more monotone than usual, but I have a bit of a sore throat.
 [00:00:35] So, inshaAllah we were still talking about the Battle of Tabuk.
 [00:00:38] And as I said, the Battle of Tabuk is so many lessons and there is no battle.
 [00:00:43] We're just talking about various things here and there around and so many incidents.
 [00:00:46] And today we will continue talking about a number of incidents that took place during the Battle of Tabuk.
 [00:00:52] Now, realize we haven't even left Madinah yet.
 [00:00:55] Like for the last three weeks or four weeks when we're doing the Battle of Tabuk, we haven't actually left Madinah.
 [00:01:00] We're talking about things that happened in Madinah.
 [00:01:03] So today let us, Alhamdulillah, depart from Madinah.",Tafsir / Quran
Seerah of Prophet Muhammad 84 - Conversion of Ka_b ibn Zuhayr ~ Dr. Yasir Qadhi ｜ 7th May 2014.txt,997,65179,"battle, hadith, muslim, prophet, surah, translation","[00:00:00] So we are now in today's lecture.
 [00:00:28] So we are now in today's lesson, insha'Allah, going to continue from post conquest of Mecca,
 [00:00:33] what happened in the remaining months of the eighth year of the Hijra and a number of interesting
 [00:00:38] incidents took place.
 [00:00:40] The first of them that we'll discuss took place probably two weeks after the process
 [00:00:45] and returned from the conquest of Mecca back to Medina.
 [00:00:49] And that was the Islam of probably the single most famous poet in the entire Arabian Peninsula.
 [00:00:58] In fact he would be the greatest poet alive at the time.
 [00:01:01] Now we already mentioned that the poets of the Quraysh had either been executed or accepted
 [00:01:06] Islam.",Tafsir / Quran
Seerah of Prophet Muhammad 92 - Battle of Tabuk 5 ~ Dr. Yasir Qadhi ｜ 15th October 2014.txt,977,79684,"ayah, battle, bukhari, hadith, muslim, prophet, surah, translation","[00:00:00] So, Alhamdulillah, we are now resuming our seerah after the break.
 [00:00:27] Is it three weeks? Three weeks, right? InshaAllah.
 [00:00:30] And we are still on the Battle of Tabuk.
 [00:00:33] InshaAllah, I hope today to finish the main events of the Battle of Tabuk.
 [00:00:38] And then next week, inshaAllah, we will bring a Quran.
 [00:00:41] I expect all of you to bring a Quran.
 [00:00:43] We will go over sections of Surah. Which Surah?
 [00:00:48] Surah Al-Tawbah. Everybody should know which Surah is of Tabuk.
 [00:00:51] And we cannot go over the whole Surah because it is too long to go over.
 [00:00:55] But I want to just highlight and refresh our memory.",Tafsir / Quran
Seerah of Prophet Muhammad 88 - Battle of Tabuk 2 ~ Dr. Yasir Qadhi ｜ 27th August 2014.txt,691,71146,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] So we were still doing the Battle of Tabuk.
 [00:00:28] We're going to be spending quite a number of lectures on the Battle of Tabuk.
 [00:00:32] And it is in fact the final of the battles of the Prophet ﷺ.
 [00:00:36] And so much Quran came down.
 [00:00:38] In fact, basically the entire Surah Al-Tawbah, Surah Al-Bara'ah, it came down because of
 [00:00:43] the Battle of Tabuk.
 [00:00:44] So we will have quite a lot of discussions and details.
 [00:00:48] And the Battle of Tabuk, as I mentioned in my last lecture, is not a actual battle.
 [00:00:53] It's actually an expedition.
 [00:00:54] No actual fighting took place.",Tafsir / Quran
Seerah of Prophet Muhammad 89 - Story of Ka_b b. Malik ~ Dr. Yasir Qadhi ｜ 3rd September 2014.txt,747,79169,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:30] doing the story of Ka'b ibn Malik and we had mentioned that our Prophet ﷺ commanded that
 [00:00:38] Ka'b be boycotted and Ka'b was one of a group of three people who were honest enough to
 [00:00:43] say Ya Rasulallah we simply did not obey the commandments, we simply did not obey the commandment
 [00:00:48] to go for jihad, we have no excuse other than the fact that we were lazy, we just did not
 [00:00:53] obey.
 [00:00:54] And so the Prophet ﷺ told them that they should be boycotted, forty days went by and
 [00:00:58] then the command came as we said that they should leave their wives or their wives should
 [00:01:03] leave them and go to elsewhere and so all of the wives left other than the wife of Hilal
 [00:01:07] she wanted to simply service him and take care of him and feed him otherwise he would
 [00:01:11] not even take care of himself and maybe even die in those ten days because he was so grieved",Tafsir / Quran
Seerah of Prophet Muhammad 85 - Miracles of Prophet Muhammad ~ Dr. Yasir Qadhi ｜ 28th May 2014.txt,1704,94178,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:21] All praise be to Allah, the Lord of the worlds.
 [00:00:23] And may peace and blessings be upon our Master Muhammad and upon his family and companions.
 [00:00:28] Our topic today, which is the final of this academic year for the Seerah of the Prophet ﷺ,
 [00:00:35] will take a break from our usual series and inshAllah resume after the month of Ramadan.
 [00:00:42] So I thought to basically break off, let us do something different.
 [00:00:45] And today we will talk about some of the miracles of the Prophet Muhammad ﷺ,
 [00:00:51] some of what is called an Arabic Mu'ajeezat of the Nabi ﷺ.
 [00:00:57] Now what exactly is a Mu'ajeezat and why are Prophets given Mu'ajeezat?
 [00:01:02] The word Mu'ajeezat comes from the Arabic Ajaza.",Tafsir / Quran
Seerah of Prophet Muhammad 94 - The Year of Delegations - Part 1 ~ Dr. Yasir Qadhi ｜ 29th Oct 2014.txt,1074,72281,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] So now we move on to the next topic.
 [00:00:29] So now we move on after many weeks. I think we spent five episodes and because of the delay of Hajj actually two months on the Battle of Tabuk.
 [00:00:37] So now we move on actually to the next series of incidents and we are now in the ninth year of the Hijra.
 [00:00:44] In the middle of the ninth year of the Hijra and this is the and by the way we're coming to the end.
 [00:00:48] SubhanAllah there's not that much left now. It is even possible we only have a few months left of our series.
 [00:00:56] This year, the ninth year is actually called Amal Wufud, the year of delegations.
 [00:01:01] And the topic of delegations is one that is typically discussed at this juncture.
 [00:01:07] So we're going to follow what is customary and talk about the delegations.
 [00:01:11] But there's one number of issues when it comes to the delegations.
 [00:01:15] First and foremost, the delegations didn't just occur in the ninth year after the Battle of Tabuk.",Tafsir / Quran
Seerah of Prophet Muhammed 2 - Specialities of Prophet Muhammed Part 2 - Yasir Qadhi ｜ May 2011.txt,1442,82983,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] In our last halaqah, in our last weekend, our last Wednesday when we began, we began
 [00:00:23] talking about the khasais or the specialities of our Prophet Muhammad sallallahu alayhi
 [00:00:28] wa sallam and we mentioned around 15 of them and the fact of the matter is that there are closer to
 [00:00:33] 50 special things that only he was given and no other person was given. Today inshallah
 [00:00:39] ta'ala we will continue talking about his characteristics and his appearances and his
 [00:00:45] mannerisms and as I told you last week, the purpose of this is to give you a little bit of
 [00:00:51] a taster of the seerah. We're not going to begin the actual life for another two three weeks but
 [00:00:56] I want to give you a little bit of a taster, a little bit of a summary if you like, a bird's eye
 [00:01:00] view so we get the summary of who exactly our Prophet sallallahu alayhi wa sallam was and we
 [00:01:07] will begin today by talking about his physical appearance, how he used to look sallallahu alayhi",Tafsir / Quran
Seerah of Prophet Muhammed 37 - The Battle of Badr 2 - Yasir Qadhi ｜ 17th October 2012.txt,2091,114287,"ayah, battle, hadith, muslim, prophet, surah, tafsir","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:24] Alhamdulillah, Rabbil Alameen, wassalat wa salamu ala Sayyidina Muhammadin wa ala alihi wa sahbihi ajma'in.
 [00:00:29] Amma ba'd.
 [00:00:30] So we are now still on the Battle of Badr.
 [00:00:33] Last week we had talked about the preparations for the Battle of Badr and why it is called
 [00:00:37] the Battle of Badr.
 [00:00:38] Who can remind me why it is called the Battle of Badr?
 [00:00:43] It's a person's name, the person who dug a well at a particular place and that place
 [00:00:48] was then called after the well.
 [00:00:50] And this is which Battle of Badr?",Tafsir / Quran
Seerah of Prophet Muhammad 82 - Battle of Hunayn Part 1 ~ Dr. Yasir Qadhi ｜ 16th April 2014.txt,1256,74134,"ayah, battle, bukhari, hadith, muslim, prophet","[00:00:30] lesson we had mentioned, we finished off the conquest of Mecca, correct?
 [00:00:35] Everything? None of the... we finished all of the blessings, all of the benefits, all of the moral,
 [00:00:42] and the theological, we finished all of that, correct?
 [00:00:44] Okay, so we now move on to the battle of Hunayn and Ta'if, but there's one incident that I didn't have time to mention.
 [00:00:50] By the way, the microphone is not working, it's too...
 [00:00:53] Do you see the feedback? It's a little bit high, right?
 [00:00:57] Where is Adam, if we can see? If you can check it out, I think the bass or something, I don't know, bass, say that.
 [00:01:05] So there was one incident that I didn't have time to mention in the last lesson,
 [00:01:11] and if you remember we talked about Khalid ibn al-Walid and the mistake, the issue of the prisoners and whatnot that he had killed.
 [00:01:18] So there's... remember that? We talked about that last time, right?",Tafsir / Quran
Seerah of Prophet Muhammad 98 - Marital dispute with the Wives ~ Dr. Yasir Qadhi ｜ 3rd December 2014.txt,1520,88084,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:30] from where we left off and our last lecture was about,
 [00:00:33] what was our last lecture?
 [00:00:35] Umm Ibrahim.
 [00:00:36] So Umm Ibrahim, the entire story of Umm Ibrahim.
 [00:00:39] And so based off of that,
 [00:00:41] I thought this would be the good time to also mention
 [00:00:43] another family incident of the Prophet ﷺ,
 [00:00:47] another incident involving the wives of the Prophet ﷺ.
 [00:00:51] The only issue is we do not know when this incident occurred.
 [00:00:55] So there are a number of opinions when this incident occurred.",Tafsir / Quran
Seerah of Prophet Muhammad 83 - Battle of Hunayn Part 2 ~ Dr. Yasir Qadhi ｜ 23rd April 2014.txt,1703,99259,"battle, hadith, muslim, prophet, surah","[00:00:00] We continue from where we had left off last week.
 [00:00:29] We talked about the Battle of Hunayn.
 [00:00:31] And if you remember the Battle of Hunayn was the battle between the Prophet ﷺ and the
 [00:00:35] Sahaba and which tribes?
 [00:00:38] Hawazin and Thaqeef and other tribes.
 [00:00:40] Hawazin and Thaqeef and other tribes.
 [00:00:42] The two main tribes were Thaqeef and Hawazin.
 [00:00:45] And the Thaqeef is the tribe of Ta'if.
 [00:00:47] And Hawazin are basically the Bedouin type of tribes outside of the city of Al-Ta'if.
 [00:00:54] And how many were on the side of the Mushrikun?",Tafsir / Quran
Seerah of Prophet Muhammad 95 - The Year of Delegations - Part 2 ~ Dr. Yasir Qadhi ｜ 5th Nov 2014.txt,717,76159,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] So we
 [00:00:29] were still doing the year of delegations and who can remind me when did the year of
 [00:00:35] delegations begin and when did it last until from what year to what year?
 [00:00:41] So Hijra 5 through 9 we can say is when all of the delegations arrived so why do we call
 [00:00:47] the year of delegations only the ninth year then?
 [00:00:50] When the delegations came from the fifth to the ninth most of them came in the ninth year
 [00:00:56] So that is why the ninth year of the Hijra is called the year of delegations and as I
 [00:01:00] said for today's topic last week's maybe even next two weeks I don't know how many incidents
 [00:01:06] I'm going to do myself because again this is the only time to talk about them we skipped
 [00:01:11] over a lot of the delegations in the fifth sixth seventh year because we were eager to",Tafsir / Quran
Seerah of Prophet Muhammad 79 - The Conquest of Makkah Part 4 ~ Dr. Yasir Qadhi ｜ 19th March 2014.txt,806,68364,"battle, hadith, muslim, prophet, surah","[00:00:30] the conquest of Mecca and in our last lesson we had discussed the Prophet ﷺ
 [00:00:36] reaching right outside the city of Mecca and a number of famous people converted
 [00:00:42] right then and there quickly remind me who were the people who converted outside
 [00:00:45] of Mecca before he entered Mecca? Well Abbas didn't convert outside of Mecca
 [00:00:50] Abbas converted closer to Medina. Abbas converted and he is considered to be a
 [00:00:55] muhajir because his niyyah was to do hijrah so it is true he converted before
 [00:01:02] the conquest but he converted closer to Medina so who converted outside of Mecca?
 [00:01:06] Sufyan. Sufyan? Who's Sufyan?
 [00:01:08] Abu Sufyan. Abu Sufyan. Which Abu Sufyan?
 [00:01:13] Muawiyah's father. Okay so Muawiyah's father but he converted towards the end",Tafsir / Quran
Seerah of Prophet Muhammad 97 - Maria the Copt & Death of Ibrahim ~ Dr. Yasir Qadhi ｜ 19th Nov 2014.txt,1231,82808,"battle, bukhari, hadith, khilafah, muslim, prophet, surah, tafsir","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:22] Today's Seerah is going to be a bit of a tangent. We have to catch up with issues in the life of the Prophet ﷺ that we have overlooked.
 [00:00:36] Remember we're talking about the Battle of Tabuk for five episodes. We talked about the delegations and the delegations spanned three and a half to four years, right?
 [00:00:45] We went over all the delegations. So there are things happening in the life of the Prophet ﷺ that we kind of overlooked.
 [00:00:51] So today and maybe even the next Seerah, I will shed some light on these incidents. And in order to do so, I'm going to have to once again go non-chronological.
 [00:01:01] Because as we already noticed, if I did the delegations non-chronologically, if I did the delegations chronologically, it would have been too much.
 [00:01:08] Every time I mention delegations, it's rather boring. Whereas if you lump them all together, it actually makes sense, right?
 [00:01:14] So today we're also going to do one particular issue, but it's going to span the course of around two and a half years.
 [00:01:22] And it is these two and a half years, the eighth, the ninth and the tenth year of the Hijrah.
 [00:01:29] And I wanted to begin by talking about the death of the son of the Prophet ﷺ. And that is, of course, Ibrahim.",Tafsir / Quran
Seerah of Prophet Muhammed 27 - The Hijrah - Emigration to Madinah - Yasir Qadhi ｜ March 2012.txt,1215,80094,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] Alhamdulillahi Rabbil Alameen, wa salatu wa salaamu ala ashrafil mursaleen, Muhammadin
 [00:00:14] wa ala alihi wa sahbihi ajmaeen.
 [00:00:16] Amma ba'd, we were discussing the stories of the seerah and we are trying to lay the
 [00:00:22] foundations for the actual seerah of the Prophet, the hijrah of the Prophet Sallallahu Alaihi
 [00:00:27] wa sallam.
 [00:00:28] We discussed many of the other hijras that took place and the point that we need to underscore
 [00:00:31] the Prophet Sallallahu Alaihi wa sallam was really one of the last, if not the last adult
 [00:00:36] Muslim to emigrate to Medina.
 [00:00:38] The only people left after the Prophet Sallallahu Alaihi wa sallam were some of the women and
 [00:00:41] children such as the family of Abu Bakr, such as Ali.",Tafsir / Quran
Seerah of Prophet Muhammad 72 - Umrah Al Qadah - Dr. Yasir Qadhi ｜ 13th November 2013.txt,1420,86096,"battle, hadith, muslim, prophet, surah","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:22] All praise is due to Allah, Lord of the worlds.
 [00:00:24] And may the peace and blessings of Allah be upon our Master Muhammad, the one who was sent
 [00:00:26] to the world.
 [00:00:27] And may the peace and blessings of Allah be upon his family and companions.
 [00:00:28] And may he be guided by his Sunnah and be guided by his guidance to the Day of Judgment.
 [00:00:29] And what is next?
 [00:00:30] So today, insha'Allah, we will move on from the Battle of Khaybar.
 [00:00:33] And in the next six months, a number of minor expeditions happened, which frankly, even though
 [00:00:41] this is an advanced Seerah class, but there's nothing really, a huge tangible political",Tafsir / Quran
Seerah of Prophet Muhammad 78 - The Conquest of Makkah Part 3 ~ Dr. Yasir Qadhi ｜ 5th March 2014.txt,1474,77852,"battle, bukhari, hadith, khilafah, muslim, prophet","[00:00:00] In our last lesson, we talked about the beginning of the conquest of mankind.
 [00:00:28] We went into a lot of detail with the story of Haltib ibn Abi Balta'ah.
 [00:00:35] We derived so many benefits from that story.
 [00:00:39] Now we return to our story where we had left off.
 [00:00:42] The Prophet ﷺ departed Makkah on what day? Quickly, this is review.
 [00:00:46] What day did he depart Makkah?
 [00:00:49] No, you're getting confused with another battle.
 [00:00:52] Which month?
 [00:00:54] 10th of Ramadan.
 [00:00:56] Ramadan. Conquest of Makkah is Ramadan.",Hadith / Sunnah
Seerah of Prophet Muhammad 73 - Battle of Mu_tah Part 1 - Dr. Yasir Qadhi ｜ 4th December 2013.txt,1627,92841,"battle, bukhari, hadith, khilafah, muslim, prophet, surah","[00:00:00] So we've had a bit of a break.
 [00:00:29] Because of logistical issues and the last lecture that we had was concerning who can remind me?
 [00:00:35] The Umrat Al-Qadha.
 [00:00:38] We talked about the Umrat Al-Qadha.
 [00:00:40] And now we have one major incident before the grand finale of the conquest of Mecca.
 [00:00:46] And this major incident is the Battle of Mu'tah.
 [00:00:50] So the Battle of Mu'tah will take this lesson and our next lesson insha'Allah ta'ala.
 [00:00:55] And next week will be our final seerah for the year.
 [00:00:58] For 2013.
 [00:01:00] And then insha'Allah ta'ala we will begin the new seerah basically in the beginning of the next academic year insha'Allah ta'ala.",Tafsir / Quran
Seerah of Prophet Muhammad 81 - The Conquest of Makkah Part 6 ~ Dr. Yasir Qadhi ｜ 2nd April 2014.txt,1209,83926,"battle, bukhari, hadith, muslim, prophet, surah, tafsir, translation","[00:00:30] conquest of Mecca.
 [00:00:33] And today, inshaAllah, we will finally conclude the conquest of Mecca, talking about some of the benefits and some of the
 [00:00:39] morals that we can derive. But before we get to that, obviously, we still have to wrap up some of the incidents that
 [00:00:44] we still haven't discussed. And I think the last thing we mentioned was the series of converts who converted right
 [00:00:53] after the conquest, those who were delayed in converting. And we have just one or two left of those stories.
 [00:00:59] And the first of them is just a simple story about
 [00:01:04] the cousin of the Prophet Sallallahu Alaihi Wasallam, a female cousin, one of the daughters of
 [00:01:09] Abu Talib and a full sister of Ali Ibn Abi Talib. Her name was Ummi Hani. Her name was Ummi Hani,
 [00:01:16] and she had embraced Islam at the conquest. So she obviously knows the Prophet Sallallahu Alaihi Wasallam since his childhood,
 [00:01:21] but she has remained on her faith until the conquest of Mecca. And",Tafsir / Quran
Seerah of Prophet Muhammad 69 - The Prophet_s Marriage to Zaynab - Dr. Yasir Qadhi ｜ 23rd Oct 2013.txt,1845,95240,"ayah, bukhari, hadith, muslim, prophet, surah, tafsir, translation, urdu","[00:00:00] Today's topic is one of the most important topics in the history of Islam.
 [00:00:07] It is the most important topic in the history of Islam.
 [00:00:10] It is the most important topic in the history of Islam.
 [00:00:13] It is the most important topic in the history of Islam.
 [00:00:16] It is the most important topic in the history of Islam.
 [00:00:19] It is the most important topic in the history of Islam.
 [00:00:22] It is the most important topic in the history of Islam.
 [00:00:25] It is the most important topic in the history of Islam.
 [00:00:28] The topic is one of the most difficult topics and I have been postponing it for a long time.
 [00:00:34] But then I realized that there is no point delaying it.",Tafsir / Quran
